,Unnamed: 0,valid_from,changeset_id,tags_before,changeset_tags,geometry,comments
13211,13139,2013-09-01 02:32:53+00:00,17612349,"{'Lat': '32.54631', 'Long': '74.75949', 'Place': 'Kotli Arayan', 'Sl_No': '24720.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13212,13140,2013-09-01 02:32:53+00:00,17612349,"{'Lat': '32.54693', 'Long': '74.93181', 'Place': 'Chak Guran', 'Sl_No': '24673.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13213,13141,2013-09-01 02:32:55+00:00,17612349,"{'Lat': '32.55', 'Long': '74.80556', 'Place': 'Gandli', 'Sl_No': '24731.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13214,13142,2013-09-01 02:33:04+00:00,17612349,"{'Lat': '32.56389', 'Long': '74.92361', 'Place': 'Doal', 'Sl_No': '24774.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15293,15221,2013-09-01 02:32:30+00:00,17612349,"{'Lat': '32.497', 'Long': '74.98859', 'Place': 'Kaiso Manhasan', 'Sl_No': '38000.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15294,15222,2013-09-01 02:32:37+00:00,17612349,"{'Lat': '32.50519', 'Long': '74.93949', 'Place': 'Mahal Shahan', 'Sl_No': '24652.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15290,15218,2013-09-01 02:32:21+00:00,17612349,"{'Lat': '32.47168', 'Long': '74.95028', 'Place': 'Nathwal', 'Sl_No': '37994.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14262,14190,2013-09-01 02:33:03+00:00,17612349,"{'Lat': '32.56281', 'Long': '74.85178', 'Place': 'Pindori Brahmanan', 'Sl_No': '24788.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
12187,12115,2013-09-01 02:32:45+00:00,17612349,"{'Lat': '32.52361', 'Long': '74.95', 'Place': 'Sati', 'Sl_No': '25095.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
12188,12116,2013-09-01 02:32:51+00:00,17612349,"{'Lat': '32.54167', 'Long': '74.98333', 'Place': 'Chumbiyan', 'Sl_No': '24660.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
